LON,LAT,location_type,icon_type,nursery_code,name,physical_street,mailing_street,city,state,zip,phone,fax,email,website,Tree Fruits,Small Fruits,Nuts,Supplies,Apples,Blackberries,Blueberries,Cherries,Currants,Elderberries,Figs,Gooseberries,Grapes,Jujubes,Kiwi,Nectarines,Pawpaws,Peaches,Pears,Persimmons,Plums,Raspberries,Strawberries,Butternuts,Chinese-Chestnuts,Hazelnuts-Filberts,Heartnuts,Hicans,Hickory-Shagbark,Hickory-Shellbark,Hickory-Hybrid,Pecan-Northern,Walnuts-Black,Walnuts-PersianHardyEnglish,Almonds
-79.4853568,36.3190893,nursery_source,F,CN,Century Farm Orchards,1614 Rice Road,P.O. Box 271,Altamahaw,NC,27202,336-349-5709,,david@centuryfarmorchards.com,http://www.centuryfarmorchards.com,yes,no,no,no,"Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Early Harvest - Enterprise * - Florina - Freedom * - Fuji - Gala - GoldRush * - Granny Smith - Grimes Golden  - Jonagold  (Plant red strains) - King David ** - Liberty * - Mollies Delicious - Mutsu (Crispin) - Pink Lady (Cripps Pink) - Razor Russet - Red Delicious - Redfree * - Red June (Carolina Red June) - Rome - Roxbury Russet - Suncrisp - Yellow Transparent - York (York Imperial) - Rootstocks -",,,,,,Celeste -,,,,,,,,Kieffer - Moonglow - Seckel - Korean Giant (Olympic) - Niitaka - Rootstocks -,,,,,,,,,,,,,,,,
-120.3325145,47.4475002,nursery_source,F,CO,C & O Nursery,1700 N Wenatchee Ave,P.O. Box 116,Wenatchee,WA,98807-0116,509-662-7164,509-662-4519,tree@c-onursery.com,http://www.c-onursery.com,yes,no,no,no,Aztec Fuji - September Wonder Fuji - Buckeye Gala (Simmons Cultivar) - Pacific Gala - Granny Smith - Honeycrisp - Royal Red Honeycrisp - RubyMac - Pink Lady (Cripps Pink) - Barnsby Cultivar - Rootstocks -,,,Black Pearl - Regina - Sam - Montmorency - Rootstocks -,,,,,,,,,,,,,,,,,,,,,,,,,,,
-76.5484167,42.4714365,nursery_source,F,CU,Cummins Nursery,1408 Trumansburg Road,,Ithaca,NY,14850,607-269-7664,607-227-1799,cumminsnursery@gmail.com,http://www.cumminsnursery.com,yes,no,no,no,"Antique, Hard Cider or Heirloom Cultivars - Enterprise * - Fuji - GoldRush * - Honeycrisp - Jonagold  (Plant red strains) - King David ** - Liberty * - Mutsu (Crispin) - Pink Lady (Cripps Pink) - Pristine * - Sir Prize * - Suncrisp - Sundance * - Sundowner - WineCrisp * - Yellow Transparent - Zestar! - Rootstocks -",,,Black Gold - Black Pearl - Hedelfingen - White Gold - Balaton - Danube - Montmorency -,,,,,,,,Easternglo -,,Autumnstar - Bounty - Candor - Contender - Coralstar - Cresthaven - Desiree - Early Redhaven - Earlystar - Garnet Beauty  - Glohaven - Glowingstar - Harrow Diamond - Intrepid - John Boy - Laurol - Loring - Madison - PF 1 Flamin' Fury - PF 15A Flamin' Fury - PF 17 Flamin'Fury - PF 19-007 Flamin' Fury - PF 23 Flamin' Fury - PF 24C Flamin' Fury - PF 25 Flamin' Fury - PF 28-007 Flamin' Fury - PF 5D Big Flamin' Fury - PF Big George Flamin'Fury - PF 8 Ball Flamin' Fury - PF Lucky 13 Flamin' Fury - Redhaven - Redskin - Reliance - Risingstar - Sentry - Blushingstar - N.J. 252 - Raritan Rose - BuenOs II - Galaxy - Saturn - TangOs II -,Blake's Pride - Potomac - Seckel - Shenandoah - Sunrise - Niitaka - Shinko - Rootstocks -,,Methley - Ozark Premier - Santa Rosa - Shiro - Bluebyrd - Blues Jam - Castleton - Damson - Empress - Kenmore (NY9) - Long John - Oullins Golden Gage - President - Seneca - Stanley - Valor - Victory - Vision - Rootstocks -,,,,,,,,,,,,,,
-93.4041844,35.5227645,nursery_source,F,CX,Cox Berry Farm & Nursery,1081 Hwy 818,,Clarksville,AR,72830,479-754-3707,,,http://www.coxberryfarm.com,yes,yes,no,no,,Apache - Natchez - Osage - Ouachita -,,,,,,,,,,,,Allstar - Glohaven - July Prince - PF 15A Flamin' Fury - Redhaven - Starfire -,,,,,,,,,,,,,,,,,
-86.1150312,42.0525622,nursery_source,F,DA,Daisy Farms,28355 M-152,,Dowagiac,MI,49047,269-782-6321,269-782-7131,daisyfarms@qtm.net,http://www.daisyfarms.net,no,yes,no,no,,Triple Crown -,Bluecrop - Blueray - Draper - Duke - Elliott -,,,,,Captivator - Hinnomaki Red - Invicta - Pixwell -,Concord - Concord -,,,,,,,,,Jewel - Heritage -,Allstar - Cavendish - Chandler - Earliglow - Honeoye - Jewel - Redchief - AC Wendy - Albion -,,,,,,,,,,,,
-86.2851268,42.3666272,nursery_source,F,DG,DeGrandchamp Farms,76241 14th Ave,,South Haven,Mi,49090,269-637-3915,,info@degrandchamps.com,http://www.degrandchamps.com,no,yes - blueberries,no,no,,,Aurora - Bluecrop - Bluejay - Blueray - Draper - Duke - Elliott - Jersey - Legacy - Liberty - Nelson - Patriot - Spartan -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.2962453,42.447592,nursery_source,F,DV,Double A Vineyards,10277 Christy Road,,Fredonia,NY,14063,716-672-8493,716-679-3442,,http://www.doubleavineyards.com,no,yes,no,yes,,Ouachita - Chester - Triple Crown -,Bluecrop - Duke - Earliblue - Jersey -,,Consort - White Imperial -,Adams #1 - Johns - Nova - Wyldewood 1 - York -,,Hinnomaki Red - Pixwell -,Chancellor - Concord - Frontenac - Geneva Red (GR-7) - Marechal Foch - Noiret (NY73.0136.17) - Norton (Cynthiana) - Regent - St. Vincent - Aromella (NY76.0844.24) - Catawba - Chardonel - Diamond - Niagara - Opportunity - Seyval blanc - Traminette - Vidal blanc - Vignoles - Villard blanc - Buffalo - Concord - Jupiter - Marquis - Mars - Reliance -,,,,,,,,,Killarney - Latham - Nova - Prelude - Bristol  - Jewel - BP-1 - Caroline - Heritage - Himbo Top - Joan J - Polana - Anne - Niwot -,,,,,,,,,,,,,
-78.8579133,37.9513137,nursery_source,F,ED,Edible Landscaping,361 Spirit Ridge Lane,,Afton,VA,22920,434-361-9134,434-361-1916,info@ediblelandscaping.com,http://www.ediblelandscaping.com,yes,yes,no,no,"Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Enterprise * - King David ** - Liberty * - Pristine * -",Kiowa - Triple Crown -,Draper - Legacy - Reka - Arlen - Star - Climax -,Kristin - Sam - White Gold - Montmorency -,,Adams #1 - Bob Gordon - Johns - Nova -,,Black Velvet - Hinnomaki Red - Invicta - Jahns Prairie - Jeanne -,Concord - Cynthiana - Norton (Cynthiana) - Niagara - Villard blanc - Concord - Mars -,Honey Jar - Li  - SO - Sugar Cane -,Anna Hardy Female - Arbor-eat-um NA-7 Hardy Female - Dumbarton Oaks Hardy Female - Fifty five Hardy Female - Fortyniner Hardy Female - Geneva Hardy Female - Hardy Meader Male - Issai Hardy Female - Kens Red Hardy Female - Meyer's Cordifolia Hardy Female - MSU Female - 74-32 Hardy Male - 74-46 Hardy Male -,,Allegheny - Mango - NC-1 - Overleese - Potomac - Shenandoah - Susquehanna - Wabash -,Redhaven - Belle of Georgia -,Blake's Pride - Honeysweet - Potomac - Shenandoah - Korean Giant (Olympic) -,Meader - Prok - Rosseyanka (Asian-American Hybrid) - Weber - Yates -,Methley - President - Stanley -,Jewel - Caroline - Heritage -,Chandler - Earliglow - Sweet Charlie -,,,Dorris - Felix - Jefferson - McDonald - Poly O Fllbert - Wepster - Yamhill - York -,,,,,,Hardy - Kanza -,,,
-119.291147,35.6151117,nursery_source,F,EM,Early Morning Fruit Nursery,30135 McCombs Road,,Wasco,CA,93280,845-249-9004,,,http://www.earlymorningnursery.com,yes,no,no,no,Bakers Delight - Crunch-A-Bunch - Pixie Crunch * - Sundance * - Rootstocks -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.104303,37.521375,nursery_source,FN,EN,England's Orchard and Nursery,2338 Highway 2004,,McKee,KY,40447-8342,606-965-2228,,nuttrees@prtcnet.org,http://www.nuttrees.net,yes,no,yes,yes,"Antique, Hard Cider or Heirloom Cultivars - Empire - Grimes Golden  - Liberty * - Priscilla * -",,,,,,,,,Chico - Ga-866 - Honey Jar - Lang - Li  - Sherwood - SO - Sugar Cane -,,,Allegheny - Jerry's Delight - KSU - Benson - KSU - Chappell  - Maria's Joy - Potomac - Shenandoah - Summer Delight - Susquehanna - Tallahatchie - Wabash - Premium Seed -,,Korean Giant (Olympic) -,Barbra's Blush - Celebrity - Claypool - David's Candy (Hybrid) - Deer Candy - Deer Magnet - Dollywood - Early Golden - Elmo A-118 - H-63A - Kasandra (Asian-American Hybrid) - Lehman's Delight - Mohler - Osage - Prok - Wonderful - Yates -,,,,,,Felix - Jefferson - Sacajawea -,,,,,,Kanza - Mandan -,,,Javid's Iranian -
-122.8106051,43.9578581,nursery_source,F,FC,Fall Creek Farm & Nursery,39218 Jasper-Lowell Road,,Lowell,OR,97452,541-937-2973,541-937-2973,,http://www.fallcreeknursery.com,no,yes - blueberries,no,yes,,,Aurora - Bluecrop - Bluegold - Draper - Duke - Elliott - Legacy - Liberty - Misty - Star -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-78.1067103,35.8207741,nursery_source,F,FI,Finch Blueberry Nursery,5714 Finch Nursery Lane,P.O. Box 699,Bailey,NC,27807,252-235-4664,252-235-2411,finchnursery@earthlink.net,http://www.finchblueberrynursery.com,no,yes - blueberries,no,no,,,Bluecrop - Bluegold - Bluejay - Blueray - Chandler - Duke - Echota - Elliott - Jersey - Legacy - Patriot - Spartan - Arlen - Misty - Pamlico - Sampson - Brightwell - Climax - Delite - Onslow -,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-90.7850179,39.1457322,nursery_source,FN,FK,Forrest Keeling Nursery,88 Forrest Keeling Lane,,Elsberry,MO,63343,800-356-2401,,info@fknursery.com,http://www.fknursery.com,yes,no,yes,no,,,,,,,,,,,,,Allegheny - Mango - NC-1 - Overleese - Pennsylvania Golden - Potomac - Shenandoah - Sunflower - Susquehanna - Wabash -,,,,,,,,Eaton River - Qing - Sleeping Giant -,,,,,,,,,,
-85.8867181,35.3151579,nursery_source,F,FT,Freedom Tree Farms,1147 US-41,P.O. Box 69,Pelham,TN,37366,31-467-3600,,,http://www.freedomtreefarms.com,yes,yes,no,yes,Fuji - Gala - Golden Delicious (Yellow Delicious) - Granny Smith - Honeycrisp -,Apache - Ouachita - Triple Crown -,Brigitta - Duke - Jersey - Patriot - Brightwell - Climax -,,,,Celeste -,,Concord - Concord - Mars -,,,,,Contender - Cresthaven - July Prince - Redhaven - Redskin -,Ayers - Kieffer - Moonglow -,,,Heritage -,,,,,,,,,,,,,
-82.3724258,43.0127594,nursery_source,FN,GI,Grimo Nut Nursery,979 Lakeshore Road,R.R. 3 Niagara-On-The-Lake,Ontario,Canada,LOD 1JO,905-934-6887,905-935-6687,nuttrees@grimonut.com,http://www.grimonut.com,yes,no,yes,yes,,,,,,,Chicago Hardy -,,,,,,,,,Yates -,,,,Beckwith - Kenworthy -,,,Grimo  - Imshu - Simcoe - Stealth -,Burton -,Grainger - J. Yoder #1 - Porter - Weschcke -,Fayette - Henry - Keystone -,,,,,
-86.308356,42.1861494,nursery_source,F,GO,Grandpa's Orchard LLC ,,P.O. Box 773,Coloma,MI,49038,877-800-0077,269-468-6510,customercare@grandpasorchard.com,http://www.grandpasorchard.com,yes,no,no,no,"Ambrosia - Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Blondee - Cameo  - Cortland - Crimson Crisp * - Empire - Enterprise * - Fuji - Auvil Early Fuji - Gala - Golden Delicious (Yellow Delicious) - GoldRush * - Granny Smith - Grimes Golden  - Honeycrisp - Royal Red Honeycrisp - Jonagored - Jonathan (Plant red strains) - King David ** - Liberty * - Lodi - Melrose - Mutsu (Crispin) - Nittany - Pink Lady (Cripps Pink) - Lady in Red - Red Delicious - Redfield ** - Rome - Roxbury Russet - Zestar! -",,,Black Gold - Black Pearl - Regina - Sam - White Gold - Balaton - Danube - Montmorency -,,,,,,,,Fantasia - Firebrite - Flavortop - Hardired - Red Gold - Arctic Glo -,,Allstar - Autumnstar - Canadian Harmony - Contender - Coralstar - Cresthaven - Desiree - Earlystar - Encore - Glenglo - Glohaven - Gloria - Glowingstar - Loring - Madison - Messina - PF 23 Flamin' Fury - PF 27A Flamin' Fury - PF 28-007 Flamin' Fury - PF 5D Big Flamin' Fury - PF Big George Flamin'Fury - PF 9A-007 Flamin' Fury - PF Lucky 13 Flamin' Fury - Redhaven - Redskin - Risingstar - Starfire - Sweet-N-Up - Belle of Georgia - Blushingstar - Raritan Rose - Galaxy - Saturn -,Blake's Pride - Potomac - Seckel - Shenandoah - Sunrise - Shinko -,,Methley - Ruby Queen - Santa Rosa - Shiro - Bluebyrd - Kenmore (NY9) - Long John - President - Stanley - Valor - Victory -,,,,,,,,,,,,,,
-84.8641178,39.1125572,nursery_source,FN,GU,Gurney's Seed & Nursery Co,,P.O. Box 4178,Greendale,IN,47025-4178,513-354-1491,513-354-1493,,http://www.gurneys.com,yes,yes,yes,yes,Arkansas Black - Bakers Delight - Crunch-A-Bunch - Fuji - Gala - Golden Delicious (Yellow Delicious) - GoldRush * - Granny Smith - Honeycrisp - Liberty * - Pixie Crunch * - Pristine * - Sundance * -,Apache - Natchez - Ouachita - Triple Crown - Black Magic -,Bluecrop - Chandler - Jersey - Patriot - Reka - Titan -,,,,Celeste - Chicago Hardy -,,,,,Mericrest - Yumm Yumm -,,Contender - Reliance - Belle of Georgia - Flat Wonderful -,Crisp 'n Sweet - Honeysweet - Moonglow - Korean Giant (Olympic) -,,Blue Damson - Stanley -,Boyne - Latham - Nova - Prelude - Jewel - Caroline - Crimson Night - Heritage - Anne -,Allstar - Chandler - Earliglow - Flavorfest - Honeoye - Jewel - Albion - Ft. Laramie -,,,,,,,,,,,,
-86.1259786,40.7238507,nursery_source,F,IB,Indiana Berry & Plant Co,2811 US 31,,Plymouth,IN,46563,800-295-2226,574-784-2468,info@indianaberry.com,http://www.indianaberry.com,no,yes,no,no,,Chickasaw - Kiowa - Shawnee - Apache - Caddo - Natchez - Osage - Ouachita - Von - Triple Crown - Prime ARK 45 - Prime-Ark Traveler -,Bluecrop - Blueray - Chandler - Draper - Duke - Elliott - Jersey - Liberty - Nelson - Patriot - Spartan - Climax - Onslow -,,Crandall - Consort - Titania - Jonkeer Van Tets - Rovada - Primus - White Imperial - Pink Champagne -,,,Amish Red - Black Velvet - Captivator - Hinnomaki Red - Hinnomaki Yellow - Invicta - Jahns Prairie - Pixwell - Poorman -,Concord - Traminette - Concord - Reliance - Vanessa -,,,,,,,,,Boyne - Encore - Killarney - Nova - Prelude - Royalty - Bristol  - Jewel - Mac Black - Caroline - Crimson Night - Heritage - Joan J - Polana - Anne - Double Gold - Niwot -,Allstar - Cavendish - Chandler - Earliglow - Flavorfest - Galletta - Honeoye - Jewel - AC Valley Sunset - AC Wendy - Albion - San Andreas -,,,,,,,,,,,,
-84.4630424,33.2500044,nursery_source,FN,IN,Ison's Nursery & Vineyards,6855 Newnan Road,P.O. Box 190,Brooks,GA,30205,800-733-0324,770-599-6970,,http://www.isons.com,yes,yes,yes,yes,"Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Fuji - Gala - Golden Delicious (Yellow Delicious) - Granny Smith - Honeycrisp - Mutsu (Crispin) - Pink Lady (Cripps Pink) - Red Delicious - Sundowner -",Chickasaw - Apache - Caddo - Natchez - Ouachita - Ponca - Von - Chester - Triple Crown -,Star - Brightwell - Titan - Vernon -,Montmorency -,Crandall - Red Lake - White Imperial -,,Celeste -,,Cynthiana - Chardonel - Jupiter - Mars - Reliance - Vanessa -,Lang - Li  -,Anna Hardy Female - Issai Hardy Female - Kens Red Hardy Female -,Sunglo -,,Loring - Redhaven - Redskin - Belle of Georgia -,Kieffer - Moonglow - Seckel - Korean Giant (Olympic) - Shinko -,,Methley - Ozark Premier - Santa Rosa -,Latham - Jewel - Caroline - Heritage - Double Gold -,Chandler - Sweet Charlie -,,,Jefferson -,,,,,,Kanza - Pawnee -,,White -,
-75.09207,39.579294,nursery_source,F,JA,Jersey Asparagus Farms Inc.,105 Porchtown Road,,Pittsgrove,NJ,8318,856-358-2548,856-358-6127,scott@walkerseed.com,http://www.walkerplants.com,no,yes,no,no,,,,,,,,,,,,,,,,,,,Camino Real - Chandler - Flavorfest - Sweet Charlie -,,,,,,,,,,,,
-89.0095418,43.5352444,nursery_source,FN,JW,J.W. Jung Seed Company,335 S High Street,,Randolph,WI,53957,800-247-5864,800-692-5864,info@jungseed.com,http://www.jungseed.com,yes,yes,yes,yes,Bonnie Best - CandyCrisp - Cortland - Honeycrisp -,Chester - Triple Crown -,Blueray - Chandler - Patriot - Reka -,Black Gold - White Gold - Danube - Montmorency - North Star -,Consort - Red Lake - Rovada - Pink Champagne -,,,Hinnomaki Red - Invicta - Pixwell - Tixia -,Frontenac Gris - Marquis - Reliance -,,,Hardired -,Shenandoah -,Contender - Madison - Reliance -,Potomac - Seckel - Korean Giant (Olympic) -,Meader - Nikita's Gift (Asian-American Hybrid) -,,Boyne - Killarney - Latham - Nova - Prelude - Bristol  - Jewel - Caroline - Heritage - Joan J - Anne - Double Gold -,Cavendish - Earliglow - Flavorfest - Honeoye - Jewel - AC Wendy - Albion - Ft. Laramie -,,,,,,,,,,,,
-86.1762655,42.085616,nursery_source,F,KP,"Krohne Plant Farms, Inc",65295 County Road,,Hartford,MI,49057,269-424-5423,269-424-3126,info@knohneplantfarms.com,https://www.krohneplantfarms.com/,no,yes,no,no,,,,,,,,,,,,,,,,,,,Allstar - Cavendish - Earliglow - Flavorfest - Galletta - Honeoye - Jewel - AC Valley Sunset - AC Wendy - Albion -,,,,,,,,,,,,
-88.0585724,44.6652806,nursery_source,F,MV,Maple Valley Orchards & Nursery,4520 Hilltop Drive,,Suamico,WI,54173,920-412-5741,920-842-3204,info@maplevalleyorchards.com,http://www.maplevalleyorchards.com,yes,no,no,no,"Antique, Hard Cider or Heirloom Cultivars - Arkansas Black - Cameo  - Empire - Enterprise * - Rising Sun Fuji - Brookfield Gala - GoldRush * - Granny Smith - Grimes Golden  - Jonagold  (Plant red strains) - Jonathan (Plant red strains) - King David ** - Mutsu (Crispin) - Pristine * - Red June (Carolina Red June) - Yellow Transparent -",,,,,,,,,,,,,,,,Kenmore (NY9) -,,,,,,,,,,,,,,
-89.3109346,37.6832848,nursery_source,F,MN,McNitt Growers,78 Oak Ridge Lane,,Carbondale,IL,62903,618-687-3563,,info@mcnittgrowers.com,http://www.mcnittgrowers.com/,,,,,,,,,,,,,,,,,,,,,,,Camarosa - Chandler - Albion -,,,,,,,,,,,,
-122.1448601,40.1549353,nursery_source,F,NC,Norcal Nursery Inc,11810 Highway 99 E,P.O. Box 1012,Red Bluff,CA,96080,530-527-6200,530-527-2921,sales@norcalnursery.com,http://www.norcalnursery.com,no,yes,no,no,,,,,,,,,,,,,,,,,,,Camarosa - Camino Real - Earliglow - Flavorfest - Jewel - Albion - San Andreas -,,,,,,,,,,,,
